order_month,region,product_category,total_sales,total_profit,total_orders,total_quantity,profit_margin
2024-01,East,Clothing,2814.86,945.4,1,4,0.3359
2024-01,East,Electronics,5658.07,2052.0099999999998,3,11,0.3627
2024-01,East,Furniture,1547.47,772.26,1,6,0.499
2024-01,North,Beauty,8859.33,2101.7,2,14,0.2372
2024-01,North,Electronics,5238.11,2561.03,1,8,0.4889
2024-01,North,Furniture,3957.79,1123.44,3,11,0.2839
2024-01,South,Beauty,2405.39,600.72,2,10,0.2497
2024-01,South,Clothing,5355.78,2183.4900000000002,2,12,0.4077
2024-01,South,Furniture,3315.75,1061.77,1,5,0.3202
2024-01,West,Beauty,14964.970000000001,4979.36,6,31,0.3327
2024-01,West,Clothing,11069.7,3845.58,4,22,0.3474
2024-01,West,Electronics,14432.58,5432.610000000001,3,22,0.3764
2024-01,West,Furniture,713.94,211.22,1,5,0.2959
