
order_id,order_date,customer_id,region,product_category,product_name,quantity,unit_price,discount,sales_amount,cost_amount,profit_amount
1001,2024-01-02,10004,West,Clothing,Jacket,7,883.84,0.25,4640.16,2492.81,2147.35
1002,2024-01-03,10009,West,Clothing,T-Shirt,2,335.31,0.19,543.2,432.49,110.71
1003,2024-01-04,10004,East,Furniture,Sofa,6,334.95,0.23,1547.47,775.21,772.26
1004,2024-01-05,10004,West,Electronics,Headphones,4,881.59,0.18,2891.62,1764.65,1126.97
1005,2024-01-06,10007,West,Beauty,Shampoo,9,762.47,0.14,5901.52,4185.75,1715.77
1006,2024-01-07,10000,North,Beauty,Lotion,4,401.5,0.06,1509.64,985.42,524.22
1007,2024-01-08,10004,West,Electronics,Tablet,8,716.85,0.04,5505.41,4194.9,1310.51
1008,2024-01-09,10009,South,Beauty,Lotion,4,237.78,0.21,751.38,512.69,238.69
1009,2024-01-10,10003,East,Electronics,Headphones,5,860.5,0.08,3958.3,2475.44,1482.86
1010,2024-01-11,10007,North,Furniture,Chair,2,824.05,0.28,1186.63,927.02,259.61
1011,2024-01-12,10005,South,Furniture,Bookshelf,5,884.2,0.25,3315.75,2253.98,1061.77
1012,2024-01-13,10001,North,Furniture,Chair,6,440.54,0.25,1982.43,1355.27,627.16
1013,2024-01-14,10004,North,Electronics,Tablet,8,808.35,0.19,5238.11,2677.08,2561.03
1014,2024-01-15,10000,West,Electronics,Tablet,10,745.13,0.19,6035.55,3040.42,2995.13
1015,2024-01-16,10010,East,Electronics,Smartphone,1,733.87,0.28,528.39,278.16,250.23
1016,2024-01-17,10002,South,Clothing,Sneakers,2,197.89,0.27,288.92,201.19,87.73
1017,2024-01-18,10001,South,Clothing,Sneakers,10,589.17,0.14,5066.86,2971.1,2095.76
1018,2024-01-19,10009,North,Furniture,Sofa,3,285.77,0.08,788.73,552.06,236.67
1019,2024-01-20,10005,West,Beauty,Makeup Kit,6,721.37,0.11,3852.12,2011.95,1840.17
1020,2024-01-21,10006,West,Beauty,Makeup Kit,2,327.71,0.2,524.34,370.85,153.49
1021,2024-01-22,10003,West,Beauty,Lotion,9,268.1,0.27,1761.42,1401.51,359.91
1022,2024-01-23,10002,South,Beauty,Perfume,6,358.01,0.23,1654.01,1291.98,362.03
1023,2024-01-24,10010,West,Furniture,Chair,5,156.91,0.09,713.94,502.72,211.22
1024,2024-01-25,10006,West,Beauty,Lotion,4,671.35,0.16,2255.74,1485.66,770.08
1025,2024-01-26,10001,East,Clothing,T-Shirt,4,902.2,0.22,2814.86,1869.46,945.4
1026,2024-01-27,10003,West,Clothing,T-Shirt,5,192.36,0.28,692.5,346.48,346.02
1027,2024-01-28,10010,West,Beauty,Shampoo,1,788.03,0.15,669.83,529.89,139.94
1028,2024-01-29,10003,East,Electronics,Headphones,5,275.62,0.15,1171.38,852.46,318.92
1029,2024-01-30,10005,West,Clothing,T-Shirt,8,763.8,0.15,5193.84,3952.34,1241.5
1030,2024-01-31,10003,North,Beauty,Makeup Kit,10,757.7,0.03,7349.69,5772.21,1577.48
